Year,Global mean sea-level anomaly (m),Temperature anomaly [C],,# Global mean sea level (in meters) is estimated from the Rahmstorf 2007 model with Markov Chain Monte Carlo. 
2045,0.193984867,1.753458862,,
2046,0.199086187,1.788157349,,
2047,0.204256644,1.903269653,,
2048,0.209656466,1.825785523,,
2049,0.214901899,1.82367981,,
2050,0.220143136,2.000101929,,
2051,0.225735899,1.866099243,,
2052,0.231061657,1.967387085,,
2053,0.236589235,2.163004761,,
2054,0.242506586,2.164957886,,
2055,0.248427828,2.216349487,,
2056,0.254451469,2.199320679,,
2057,0.260441181,2.429697876,,
2058,0.266889924,2.284067993,,
2059,0.273048497,2.346262817,,
2060,0.279330994,2.33072937,,
2061,0.28558254,2.414561157,,
2062,0.292001123,2.476817017,,
2063,0.298543753,2.635935669,,
2064,0.305403431,2.611124878,,
2065,0.312213673,2.64902771,,
2066,0.319099437,2.664317017,,
2067,0.326015665,2.842631226,,
2068,0.333287189,2.799204712,,
2069,0.340472185,2.894602661,,
2070,0.347847263,2.761729126,,
2071,0.354957587,2.860667114,,
2072,0.362265048,3.014872437,,
2073,0.369879767,2.895670776,,
2074,0.377256974,3.087443237,,
2075,0.385016292,3.200358276,,
2076,0.393000597,3.121500855,,
2077,0.400827776,3.298167114,,
2078,0.409006967,3.296000366,,
2079,0.41718184,3.439341431,,
2080,0.425642325,3.489909058,,
2081,0.434203567,3.46366394,,
2082,0.442712514,3.491801148,,
2083,0.451277526,3.516245728,,
2084,0.459891244,3.665812378,,
2085,0.468802978,3.569285278,,
2086,0.477522379,3.664133911,,
2087,0.486430768,3.709360962,,
2088,0.495429273,3.74869812,,
2089,0.504506159,3.802988892,,
2090,0.51369122,3.768198853,,
2091,0.522806962,3.988291626,,
2092,0.532361244,4.029002075,,
2093,0.541996642,4.126963501,,
2094,0.551827231,4.109141235,,
2095,0.561622309,4.076884155,,
2096,0.571353114,4.161143189,,
2097,0.581251807,4.281657105,,
2098,0.591390627,4.273753052,,
2099,0.601513698,4.235331421,,
2100,0.611560213,4.283823853,,
2101,0.621703351,4.410258179,,
2102,0.632098412,4.361063843,,
2103,0.642395452,4.436106567,,
2104,0.652842017,4.585184937,,
2105,0.663585624,4.551096802,,
2106,0.67426131,4.633463745,,
2107,0.685101113,4.636240845,,
2108,0.695946451,4.664439087,,
2109,0.706847974,4.793711548,,
2110,0.718007076,4.851542358,,
2111,0.729281407,4.944804077,,
2112,0.740741565,4.907938843,,
2113,0.752128267,4.960215454,,
2114,0.763619132,4.987284546,,
2115,0.775163933,5.047556763,,
2116,0.786828828,5.238139038,,
2117,0.798873463,5.118296509,,
2118,0.810679309,5.229258423,,
2119,0.822706249,5.211985474,,
2120,0.834698773,5.29078186,,
2121,0.8468483,5.404734497,,
2122,0.859224881,5.302439575,,
2123,0.871397636,5.321268921,,
2124,0.88360791,5.546854858,,
2125,0.896267669,5.589884644,,
2126,0.909013166,5.522776489,,
2127,0.921624949,5.489085083,,
2128,0.9341696,5.584849243,,
2129,0.946905065,5.641398315,,
2130,0.959753204,5.732706909,,
2131,0.972783278,5.863566284,,
2132,0.986074093,5.860911255,,
2133,0.999359618,5.855234985,,
2134,1.012633833,5.867167358,,
2135,1.025931823,5.944987183,,
2136,1.039384871,5.941325073,,
2137,1.052830623,6.023875122,,
2138,1.066440857,6.004710083,,
2139,1.080012905,6.166270142,,
2140,1.093906865,6.13617981,,
2141,1.107740869,6.194834595,,
2142,1.121691745,6.212717896,,
2143,1.135678253,6.28965271,,
2144,1.149818057,6.350199585,,
2145,1.164078501,6.391550903,,
2146,1.178421339,6.385264282,,
2147,1.192751651,6.406748657,,
2148,1.20712477,6.518259888,,
2149,1.221720079,6.556498413,,
2150,1.236391579,6.578318481,,
2151,1.251106556,6.482493286,,
2152,1.265630599,6.528696899,,
2153,1.280246704,6.592234497,,
2154,1.294989409,6.741251831,,
2155,1.310029035,6.724467163,,
2156,1.325035218,6.805888062,,
2157,1.340203633,6.835215454,,
2158,1.355430484,7.013407593,,
2159,1.371012387,6.935801392,,
2160,1.386439659,7.103068237,,
2161,1.402200213,7.113230591,,
2162,1.417981016,7.002695923,,
2163,1.433541577,7.0259198,,
2164,1.449148411,7.107249146,,
2165,1.464917296,7.142588501,,
2166,1.480756596,7.110819702,,
2167,1.496532595,7.255228882,,
2168,1.512596334,7.210490112,,
2169,1.528570929,7.295420532,,
2170,1.544714751,7.377268677,,
2171,1.561021657,7.404276733,,
2172,1.577382377,7.428568726,,
2173,1.5937915,7.376231079,,
2174,1.610096338,7.482340698,,
2175,1.626612603,7.44803894,,
2176,1.64306052,7.547739868,,
2177,1.659707095,7.537974243,,
2178,1.676334211,7.57657898,,
2179,1.693038248,7.586039429,,
2180,1.709761135,7.665720825,,
2181,1.726642789,7.827860718,,
2182,1.743847511,7.855631714,,
2183,1.761107568,7.825968628,,
2184,1.77830852,7.934763794,,
2185,1.79572625,7.909678345,,
2186,1.813093996,7.991343384,,
2187,1.830624461,7.92814148,,
2188,1.848028996,7.939616089,,
2189,1.865456393,7.906596069,,
2190,1.882817998,7.988779907,,
2191,1.900343356,8.069620972,,
2192,1.918029791,8.018839722,,
2193,1.935615044,8.217387085,,
2194,1.953595908,8.117960815,,
2195,1.971378662,8.09144104,,
2196,1.989108575,8.152354126,,
2197,2.006959859,8.197001343,,
2198,2.024900103,8.322886353,,
2199,2.043091177,8.284556274,,
2200,2.061205877,8.295603638,,
2201,2.079342589,8.3618573,,
2202,2.097611313,8.30527771,,
2203,2.115767301,8.405802612,,
2204,2.134123587,8.43406189,,
2205,2.152536181,8.417734985,,
2206,2.170916243,8.400553589,,
2207,2.18926207,8.479838257,,
2208,2.207765875,8.45875061,,
2209,2.226227661,8.543040161,,
2210,2.244857397,8.556010132,,
2211,2.263512976,8.589701538,,
2212,2.282235686,8.522074585,,
2213,2.300823647,8.627817993,,
2214,2.319622305,8.75626648,,
2215,2.338676899,8.79532898,,
2216,2.357809327,8.773722534,,
2217,2.376898703,8.698344116,,
2218,2.395837886,8.796732788,,
2219,2.414973111,8.832011108,,
2220,2.434178629,8.855570679,,
2221,2.45343109,8.931223755,,
2222,2.472834291,8.910380249,,
2223,2.492195961,9.12949646,,
2224,2.511994227,9.041270142,,
2225,2.531616698,9.00852478,,
2226,2.551173924,9.05024231,,
2227,2.570814273,9.071268921,,
2228,2.590496518,9.094584351,,
2229,2.61022522,9.078471069,,
2230,2.629921816,9.050883179,,
2231,2.649563442,9.248057251,,
2232,2.669597942,9.111826782,,
2233,2.689361,9.1715802,,
2234,2.709243118,9.270823364,,
2235,2.72932298,9.265116577,,
2236,2.749391472,9.36765564,,
2237,2.769664275,9.249033814,,
2238,2.789700722,9.311686401,,
2239,2.809862005,9.281687622,,
2240,2.829963515,9.227671509,,
2241,2.849957396,9.344279175,,
2242,2.870183621,9.216532593,,
2243,2.890155308,9.215769653,,
2244,2.910125475,9.276987915,,
2245,2.93021762,9.191843872,,
2246,2.950140114,9.349772339,,
2247,2.970377284,9.439890747,,
2248,2.990794018,9.401499634,,
2249,3.011134256,9.410532837,,
2250,3.031492494,9.489451294,,
2251,3.052007978,9.425822144,,
2252,3.07239668,9.387614136,,
2253,3.092709251,9.460917358,,
2254,3.11316788,9.373209839,,
2255,3.133451751,9.358042603,,
2256,3.1537054,9.415598755,,
2257,3.174073731,9.391520386,,
2258,3.194394085,9.425944214,,
2259,3.21478303,9.495982056,,
2260,3.235311527,9.485880737,,
2261,3.255819897,9.565165405,,
2262,3.276486244,9.547556763,,
2263,3.297117505,9.607554321,,
2264,3.317868312,9.391459351,,
2265,3.338188545,9.431528931,,
2266,3.358588618,9.585368042,,
2267,3.379295219,9.516978149,,
2268,3.399865551,9.59711731,,
2269,3.420595562,9.63831604,,
2270,3.441407664,9.652781372,,
2271,3.462248587,9.675639038,,
2272,3.483135056,9.620829468,,
2273,3.503912314,9.66578186,,
2274,3.524779142,9.742594605,,
2275,3.545799021,9.727671509,,
2276,3.566789165,9.662394409,,
2277,3.587649243,9.762644653,,
2278,3.608709072,9.72501648,,
2279,3.629693926,9.731089478,,
2280,3.650690881,9.555735474,,
2281,3.671338438,9.616068726,,
2282,3.692106211,9.753947144,,
2283,3.71314871,9.665995483,,
2284,3.734015963,9.750651245,,
2285,3.755051895,9.703928833,,
2286,3.775994731,9.745615845,,
2287,3.79702063,9.731394653,,
2288,3.818018193,9.825388794,,
2289,3.839203041,9.867136841,,
2290,3.860471074,9.853861694,,
2291,3.881712655,9.782938843,,
2292,3.902812921,9.789042358,,
2293,3.923925348,9.741831665,,
2294,3.944943707,9.811472778,,
2295,3.966100827,9.77704895,,
2296,3.987189357,9.746592407,,
2297,4.008217202,9.762034302,,
2298,4.029275815,9.831828003,,
2299,4.050473494,9.813547974,,
2300,4.071634749,9.849284058,,
